,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Best Friend (feat. Doja Cat)",Saweetie,1345532,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
55,"Ropa Cara",Camilo,1306395,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
56,Goosebumps,HVME,1297997,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
57,"Lonely (with benny blanco)","Justin Bieber",1294705,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
58,"No Te Enamores - Remix",Milly,1289034,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
59,Heather,"Conan Gray",1276951,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
60,"Before You Go","Lewis Capaldi",1266158,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
61,"Love Story (Taylor’s Version)","Taylor Swift",1250511,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
62,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1246425,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
63,Arcade,"Duncan Laurence",1240427,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
64,"TE MUDASTE","Bad Bunny",1236777,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
65,"Relación - Remix",Sech,1234228,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
66,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1222587,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
67,Afterglow,"Ed Sheeran",1216919,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
68,"Chica Ideal","Sebastian Yatra",1198851,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
69,HOLIDAY,"Lil Nas X",1195771,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
70,"Esquema Preferido","DJ Ivis",1192437,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
71,"Ele É Ele, Eu Sou Eu","Wesley Safadão",1185152,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
72,willow,"Taylor Swift",1178256,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
73,BEBÉ,Camilo,1158061,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
74,"Holy (feat. Chance The Rapper)","Justin Bieber",1152031,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
75,LOCATION,"KAROL G",1150752,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
76,"death bed (coffee for your head)",Powfu,1141301,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
77,"Lucid Dreams","Juice WRLD",1139073,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
78,Circles,"Post Malone",1136863,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
79,"Breaking Me",Topic,1129280,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
80,"Mi Niña",Wisin,1128628,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
81,"The Hills","The Weeknd",1126091,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
82,Shallow,"Lady Gaga",1122371,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
83,goosebumps,"Travis Scott",1115026,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
84,"The Box","Roddy Ricch",1104439,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
85,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1098796,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
86,Polvo,"Nicky Jam",1092800,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
87,Golden,"Harry Styles",1090203,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
88,"In Your Eyes","The Weeknd",1082827,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
89,Snowman,Sia,1081244,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
90,Señorita,"Shawn Mendes",1078139,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
91,"La Tóxica",Farruko,1077062,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
92,"My Head & My Heart","Ava Max",1075398,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
93,"Tapão Na Raba","Raí Saia Rodada",1073371,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
94,"lovely (with Khalid)","Billie Eilish",1072296,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
95,"Hasta Abajo","Kevin Roldan",1069644,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
96,"Wishing Well","Juice WRLD",1054776,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
97,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1052228,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
98,"Vida de Rico",Camilo,1038255,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
99,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1034387,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
100,"Blueberry Faygo","Lil Mosey",1030017,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
101,"Facas - Ao Vivo","Diego & Victor Hugo",1027883,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
102,"Adore You","Harry Styles",1024549,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
103,Memories,"Maroon 5",1019321,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
104,"Una Locura",Ozuna,1018872,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
105,"Life Goes On",BTS,1014433,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
106,Believer,"Imagine Dragons",1009866,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
107,"bad guy","Billie Eilish",1002822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
108,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",999313,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
109,"Take You Dancing","Jason Derulo",998724,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
110,Dior,"Pop Smoke",996308,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
111,"At My Worst","Pink Sweat$",988407,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
112,"Dreams - 2004 Remaster","Fleetwood Mac",967152,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
113,"Shape of You","Ed Sheeran",965404,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
114,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande",964655,https://open.spotify.com/track/2sQH02O2HBCPJCztBrCWNa
115,Fiel,"Los Legendarios",959078,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
116,"All We Got (feat. KIDDO)","Robin Schulz",954350,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
117,"Se Te Nota (with Guaynaa)","Lele Pons",954190,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
118,Robbery,"Juice WRLD",954121,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
119,"HIGHEST IN THE ROOM","Travis Scott",953983,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
120,"La Curiosidad","Jay Wheeler",946542,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
